year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,144.0,103.0,167.0,224.0,266.0,264.0,283.0,207.0,191.0,196.0,168.0,175.0
2015,192.0,134.0,265.0,225.0,228.0,246.0,278.0,252.0,234.0,220.0,188.0,133.0
2016,135.0,157.0,206.0,232.0,258.0,263.0,234.0,238.0,266.0,232.0,239.0,229.0
2017,278.0,292.0,265.0,321.0,349.0,367.0,434.0,379.0,356.0,297.0,268.0,300.0
2018,336.0,230.0,299.0,310.0,398.0,396.0,407.0,397.0,344.0,325.0,304.0,333.0
2019,312.0,283.0,364.0,333.0,468.0,421.0,509.0,446.0,388.0,336.0,317.0,339.0
2020,340.0,359.0,298.0,250.0,536.0,509.0,539.0,631.0,510.0,528.0,502.0,509.0
2021,467.0,342.0,497.0,533.0,587.0,630.0,516.0,447.0,488.0,429.0,426.0,341.0
2022,310.0,394.0,412.0,460.0,669.0,609.0,575.0,529.0,518.0,446.0,333.0,331.0
2023,458.0,427.0,418.0,409.0,497.0,491.0,591.0,508.0,433.0,397.0,395.0,299.0
2024,412.0,394.0,407.0,374.0,413.0,465.0,597.0,467.0,468.0,388.0,57.0,80.0
2025,80.0,85.0,98.0,87.0,83.0,68.0,82.0,70.0,56.0,34.0,,
