,year-month,year,total_violent_count,total_gun_poss_count,total_violent_arrests,total_gun_poss_arrests,vi_ar,gp_ar
0,2014-01,2014,1201,144,224,248,0.186511240632806,1.7222222222222223
1,2014-02,2014,910,103,212,165,0.23296703296703297,1.6019417475728155
2,2014-03,2014,1091,167,242,252,0.22181484876260313,1.5089820359281436
3,2014-04,2014,1248,224,237,302,0.18990384615384615,1.3482142857142858
4,2014-05,2014,1461,266,321,383,0.21971252566735114,1.4398496240601504
5,2014-06,2014,1496,264,317,341,0.21189839572192512,1.2916666666666667
6,2014-07,2014,1539,283,316,365,0.20532813515269654,1.2897526501766785
7,2014-08,2014,1512,207,306,295,0.20238095238095238,1.4251207729468598
8,2014-09,2014,1498,191,307,261,0.2049399198931909,1.3664921465968587
9,2014-10,2014,1557,196,315,275,0.2023121387283237,1.403061224489796
10,2014-11,2014,1277,168,229,228,0.1793265465935787,1.3571428571428572
11,2014-12,2014,1449,175,240,263,0.16563146997929606,1.502857142857143
12,2015-01,2015,1263,192,233,281,0.18448139350752177,1.4635416666666667
13,2015-02,2015,828,134,200,204,0.24154589371980675,1.5223880597014925
14,2015-03,2015,1114,265,238,323,0.21364452423698385,1.2188679245283018
15,2015-04,2015,1212,225,246,312,0.20297029702970298,1.3866666666666667
16,2015-05,2015,1373,228,306,328,0.2228696285506191,1.4385964912280702
17,2015-06,2015,1382,246,253,321,0.18306801736613604,1.3048780487804879
18,2015-07,2015,1582,278,333,396,0.21049304677623262,1.4244604316546763
19,2015-08,2015,1569,252,272,331,0.17335882727852134,1.3134920634920635
20,2015-09,2015,1552,234,312,336,0.20103092783505155,1.435897435897436
21,2015-10,2015,1533,220,239,295,0.15590345727332028,1.3409090909090908
22,2015-11,2015,1297,188,193,235,0.14880493446414803,1.25
23,2015-12,2015,1518,133,209,205,0.13768115942028986,1.5413533834586466
24,2016-01,2016,1536,135,219,210,0.142578125,1.5555555555555556
25,2016-02,2016,1232,157,205,218,0.1663961038961039,1.3885350318471337
