,year-month,year,total_violent_arrests,total_gun_poss_arrests
0,2014-01,2014,224,248
1,2014-02,2014,212,165
2,2014-03,2014,242,252
3,2014-04,2014,237,302
4,2014-05,2014,321,383
5,2014-06,2014,317,341
6,2014-07,2014,316,365
7,2014-08,2014,306,295
8,2014-09,2014,307,261
9,2014-10,2014,315,275
10,2014-11,2014,229,228
11,2014-12,2014,240,263
12,2015-01,2015,233,281
13,2015-02,2015,200,204
14,2015-03,2015,238,323
15,2015-04,2015,246,312
16,2015-05,2015,306,328
17,2015-06,2015,253,321
18,2015-07,2015,333,396
19,2015-08,2015,272,331
20,2015-09,2015,312,336
21,2015-10,2015,238,295
22,2015-11,2015,193,235
23,2015-12,2015,209,205
24,2016-01,2016,219,210
25,2016-02,2016,205,218
26,2016-03,2016,249,291
27,2016-04,2016,240,324
28,2016-05,2016,286,335
29,2016-06,2016,286,358
30,2016-07,2016,297,331
31,2016-08,2016,265,306
32,2016-09,2016,255,315
33,2016-10,2016,248,284
34,2016-11,2016,236,304
35,2016-12,2016,189,313
36,2017-01,2017,192,366
37,2017-02,2017,204,382
38,2017-03,2017,208,349
39,2017-04,2017,249,425
40,2017-05,2017,252,449
41,2017-06,2017,262,436
42,2017-07,2017,280,525
43,2017-08,2017,274,468
44,2017-09,2017,271,428
45,2017-10,2017,251,390
46,2017-11,2017,202,352
47,2017-12,2017,184,385
48,2018-01,2018,237,428
49,2018-02,2018,184,305
50,2018-03,2018,213,395
51,2018-04,2018,207,398
52,2018-05,2018,252,522
53,2018-06,2018,233,509
54,2018-07,2018,247,477
55,2018-08,2018,274,494
56,2018-09,2018,216,424
57,2018-10,2018,225,403
58,2018-11,2018,215,380
59,2018-12,2018,193,435
60,2019-01,2019,231,433
61,2019-02,2019,175,376
62,2019-03,2019,202,458
63,2019-04,2019,236,458
64,2019-05,2019,256,572
65,2019-06,2019,235,542
66,2019-07,2019,261,638
67,2019-08,2019,229,572
68,2019-09,2019,188,497
69,2019-10,2019,218,445
70,2019-11,2019,191,424
71,2019-12,2019,185,446
72,2020-01,2020,220,468
73,2020-02,2020,203,477
74,2020-03,2020,178,387
75,2020-04,2020,133,303
76,2020-05,2020,193,617
77,2020-06,2020,189,587
78,2020-07,2020,216,618
79,2020-08,2020,214,733
80,2020-09,2020,202,601
81,2020-10,2020,158,581
82,2020-11,2020,144,567
83,2020-12,2020,153,573
84,2021-01,2021,152,546
85,2021-02,2021,128,413
86,2021-03,2021,123,555
87,2021-04,2021,181,608
88,2021-05,2021,141,661
89,2021-06,2021,159,691
90,2021-07,2021,158,584
91,2021-08,2021,151,496
92,2021-09,2021,162,537
93,2021-10,2021,150,485
94,2021-11,2021,150,483
95,2021-12,2021,142,410
96,2022-01,2022,139,357
97,2022-02,2022,141,446
98,2022-03,2022,131,479
99,2022-04,2022,164,542
100,2022-05,2022,192,782
101,2022-06,2022,175,695
102,2022-07,2022,183,650
103,2022-08,2022,209,585
104,2022-09,2022,171,603
105,2022-10,2022,157,501
106,2022-11,2022,151,409
107,2022-12,2022,168,405
108,2023-01,2023,165,556
109,2023-02,2023,139,479
110,2023-03,2023,130,472
111,2023-04,2023,197,484
112,2023-05,2023,199,587
113,2023-06,2023,187,555
114,2023-07,2023,225,666
115,2023-08,2023,195,588
116,2023-09,2023,203,506
117,2023-10,2023,185,501
118,2023-11,2023,171,458
119,2023-12,2023,183,390
120,2024-01,2024,192,512
121,2024-02,2024,166,489
122,2024-03,2024,182,499
123,2024-04,2024,185,479
124,2024-05,2024,213,494
125,2024-06,2024,206,537
126,2024-07,2024,218,668
127,2024-08,2024,184,538
128,2024-09,2024,188,553
129,2024-10,2024,207,493
130,2024-11,2024,178,428
131,2024-12,2024,169,488
132,2025-01,2025,164,457
133,2025-02,2025,142,449
134,2025-03,2025,162,554
135,2025-04,2025,162,451
136,2025-05,2025,69,265
