,month,month_name,year,total_violent_count,total_gun_poss_count,total_violent_arrests,total_gun_poss_arrests,vi_ar,gp_ar,violent_count_yoy_change,violent_count_yoy_pct,gun_poss_count_yoy_change,gun_poss_count_yoy_pct,vi_ar_yoy_change,gp_ar_yoy_change
0,1,Jan,2014,1201,144,224,248,18.65,172.22,,,,,,
12,1,Jan,2015,1262,192,233,281,18.46,146.35,61.0,5.07910074937552,48.0,33.33333333333333,-0.18999999999999773,-25.870000000000005
24,1,Jan,2016,1536,135,219,210,14.26,155.56,274.0,21.71156893819335,-57.0,-29.6875,-4.200000000000001,9.210000000000008
36,1,Jan,2017,1702,278,192,366,11.28,131.65,166.0,10.807291666666675,143.0,105.92592592592594,-2.9800000000000004,-23.909999999999997
48,1,Jan,2018,1476,336,237,428,16.06,127.38,-226.0,-13.278495887191543,58.0,20.863309352517987,4.779999999999999,-4.27000000000001
60,1,Jan,2019,1242,312,231,433,18.6,138.78,-234.0,-15.85365853658537,-24.0,-7.14285714285714,2.5400000000000027,11.400000000000006
72,1,Jan,2020,1269,340,220,469,17.34,137.94,27.0,2.1739130434782705,28.0,8.974358974358964,-1.2600000000000016,-0.8400000000000034
84,1,Jan,2021,1258,467,152,546,12.08,116.92,-11.0,-0.8668242710795915,127.0,37.35294117647059,-5.26,-21.019999999999996
96,1,Jan,2022,1204,310,139,357,11.54,115.16,-54.0,-4.292527821939585,-157.0,-33.61884368308351,-0.5400000000000009,-1.7600000000000051
108,1,Jan,2023,1501,458,165,557,10.99,121.62,297.0,24.667774086378746,148.0,47.741935483870975,-0.5499999999999989,6.460000000000008
120,1,Jan,2024,1333,412,193,513,14.48,124.51,-168.0,-11.192538307794809,-46.0,-10.043668122270743,3.49,2.8900000000000006
132,1,Jan,2025,1060,368,167,457,15.75,124.18,-273.0,-20.480120030007498,-44.0,-10.679611650485432,1.2699999999999996,-0.3299999999999983
1,2,Feb,2014,910,103,212,165,23.3,160.19,,,,,,
13,2,Feb,2015,827,134,200,204,24.18,152.24,-83.0,-9.120879120879122,31.0,30.097087378640786,0.879999999999999,-7.949999999999989
25,2,Feb,2016,1232,157,205,218,16.64,138.85,405.0,48.972188633615474,23.0,17.164179104477604,-7.539999999999999,-13.390000000000015
37,2,Feb,2017,1319,292,204,382,15.47,130.82,87.0,7.061688311688319,135.0,85.98726114649682,-1.17,-8.030000000000001
