,year,total_vi_arrs,total_gp_arrs,gp_to_vi_ratio,violent_arrests_3yr_avg,gun_arrests_3yr_avg,ratio_3yr_avg
2,2016,2978,3593,1.21,3095.67,3513.67,1.14
3,2017,2835,4960,1.75,2950.33,4040.0,1.38
4,2018,2702,5173,1.91,2838.33,4575.33,1.62
5,2019,2618,5864,2.24,2718.33,5332.33,1.97
6,2020,2211,6518,2.95,2510.33,5851.67,2.37
7,2021,1809,6473,3.58,2212.67,6285.0,2.92
8,2022,2010,6461,3.21,2010.0,6484.0,3.25
9,2023,2235,6254,2.8,2018.0,6396.0,3.2
10,2024,2390,6217,2.6,2211.67,6310.67,2.87
11,2025,2202,5616,2.55,2275.67,6029.0,2.65
