year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1201,910,1091,1247,1461,1495,1538,1512,1498,1557,1275,1449
2015,1262,826,1113,1211,1373,1382,1579,1567,1552,1532,1297,1518
2016,1536,1232,1438,1392,1756,1677,1909,2034,1756,1918,1836,1633
2017,1702,1319,1376,1530,1676,1731,1796,1892,1756,1823,1731,1614
2018,1476,1161,1391,1320,1606,1615,1694,1686,1485,1538,1381,1436
2019,1241,984,1093,1245,1368,1474,1531,1453,1298,1311,1206,1287
2020,1269,1104,999,925,1252,1329,1510,1521,1400,1418,1305,1086
2021,1258,962,1050,1116,1215,1369,1538,1450,1584,1558,1412,1513
2022,1204,1101,1176,1202,1436,1526,1530,1565,1600,1682,1487,1543
2023,1500,1083,1312,1447,1569,1581,1786,2002,1910,1944,1706,1655
2024,1333,1279,1442,1405,1533,1663,1722,1566,1556,1559,1363,1286
2025,1060,855,1020,1061,1211,1310,1304,1208,1075,1026,994,749
