,year-month,year,total_violent_count,total_gun_poss_count,total_crimes,total_violent_arrests,total_gun_poss_arrests,total_arrests
0,2014-01,2014,1201,144,19748,224,248,5732
1,2014-02,2014,910,103,17942,212,165,5817
2,2014-03,2014,1091,167,22078,242,252,6810
3,2014-04,2014,1248,224,22785,237,302,6798
4,2014-05,2014,1461,266,24768,321,383,7358
5,2014-06,2014,1496,264,25298,317,341,7108
6,2014-07,2014,1539,283,26441,316,365,7577
7,2014-08,2014,1512,207,25727,306,295,7292
8,2014-09,2014,1498,191,23724,307,261,6717
9,2014-10,2014,1557,196,23836,315,275,6829
10,2014-11,2014,1277,168,20598,229,228,5829
11,2014-12,2014,1449,175,20806,240,263,5442
12,2015-01,2015,1263,192,20404,233,281,6068
13,2015-02,2015,828,134,16134,200,204,5060
14,2015-03,2015,1114,265,21367,238,323,6483
15,2015-04,2015,1212,225,21266,246,312,5722
16,2015-05,2015,1373,228,23245,306,328,6077
17,2015-06,2015,1382,246,22685,253,321,5773
18,2015-07,2015,1582,278,23724,333,396,6059
19,2015-08,2015,1569,252,24264,272,331,5999
20,2015-09,2015,1552,234,22484,312,336,5649
21,2015-10,2015,1533,220,22405,238,295,5641
22,2015-11,2015,1297,188,19911,193,235,4890
23,2015-12,2015,1518,133,20040,209,205,4112
24,2016-01,2016,1536,135,20456,219,210,4256
25,2016-02,2016,1232,157,18596,205,218,4219
26,2016-03,2016,1438,206,21895,249,291,4910
27,2016-04,2016,1392,232,20987,240,324,4943
28,2016-05,2016,1756,258,23368,286,335,5179
29,2016-06,2016,1677,263,23849,286,358,4951
30,2016-07,2016,1910,234,24634,297,331,4611
31,2016-08,2016,2034,238,24691,265,306,4189
32,2016-09,2016,1756,266,23481,255,315,4193
33,2016-10,2016,1919,232,23552,248,284,4075
34,2016-11,2016,1836,239,21568,236,304,3778
35,2016-12,2016,1636,229,20182,189,313,3560
36,2017-01,2017,1702,278,21787,192,366,4268
37,2017-02,2017,1319,292,19145,204,382,4074
38,2017-03,2017,1376,265,20384,208,349,4401
39,2017-04,2017,1530,321,21486,249,425,4530
40,2017-05,2017,1676,349,23178,252,449,4868
41,2017-06,2017,1731,367,23582,262,436,4593
42,2017-07,2017,1796,434,24609,280,525,4796
43,2017-08,2017,1893,379,24431,274,468,4669
44,2017-09,2017,1756,356,22539,271,428,4344
45,2017-10,2017,1823,297,22490,251,390,4108
46,2017-11,2017,1731,268,20978,202,352,3941
47,2017-12,2017,1614,300,20350,184,385,3701
48,2018-01,2018,1476,336,20227,237,428,4213
49,2018-02,2018,1161,230,17170,184,305,3885
50,2018-03,2018,1391,299,21042,213,395,4590
51,2018-04,2018,1320,310,20932,207,398,4276
52,2018-05,2018,1606,398,24464,252,522,4963
53,2018-06,2018,1615,396,23913,233,509,4572
54,2018-07,2018,1694,407,24854,247,477,4737
