,year,total_violent_count,total_gun_poss_count,total_crimes,total_violent_arrests,total_gun_poss_arrests,total_arrests
0,2014,16239,2388,273751,3266,3378,79309
1,2015,16223,2595,257929,3033,3567,67533
2,2016,20122,2689,267259,2975,3589,52864
3,2017,19947,3906,264959,2829,4955,52293
4,2018,17791,4079,263539,2696,5170,52951
5,2019,15494,4516,259157,2607,5861,56132
6,2020,15118,5511,207951,2203,6512,33836
7,2021,16024,5703,202841,1797,6469,25160
8,2022,17051,5586,234857,1981,6454,27348
9,2023,19495,5323,261240,2177,6241,31732
10,2024,17707,5094,257263,2287,6177,35366
11,2025,4753,1767,85152,693,2169,14379
